,external_ids,id,is_trans,name,rgb
24,"{'BrickOwl': {'ext_descrs': [['Magenta']], 'ext_ids': [72]}, 'Peeron': {'ext_descrs': [['magenta']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Magenta']], 'ext_ids': [71]}, 'LDraw': {'ext_descrs': [['Magenta']], 'ext_ids': [26]}, 'LEGO': {'ext_descrs': [['Bright reddish violet', 'BR.RED-VIOL.']], 'ext_ids': [124]}}",26,False,Magenta,923978
25,"{'BrickOwl': {'ext_descrs': [['Lime']], 'ext_ids': [70]}, 'Peeron': {'ext_descrs': [['lime']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Lime']], 'ext_ids': [34]}, 'LDraw': {'ext_descrs': [['Lime']], 'ext_ids': [27]}, 'LEGO': {'ext_descrs': [['Br. yellowish green', 'BR.YEL-GREEN']], 'ext_ids': [119]}}",27,False,Lime,BBE90B
26,"{'BrickOwl': {'ext_descrs': [['Dark Tan']], 'ext_ids': [57]}, 'Peeron': {'ext_descrs': [['dktan']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Dark Tan']], 'ext_ids': [69]}, 'LDraw': {'ext_descrs': [['Dark_Tan']], 'ext_ids': [28]}, 'LEGO': {'ext_descrs': [['Sand yellow']], 'ext_ids': [138]}}",28,False,Dark Tan,958A73
27,"{'BrickOwl': {'ext_descrs': [['Bright Pink']], 'ext_ids': [45]}, 'Peeron': {'ext_descrs': [['btpink']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Bright Pink']], 'ext_ids': [104]}, 'LDraw': {'ext_descrs': [['Bright_Pink']], 'ext_ids': [29]}, 'LEGO': {'ext_descrs': [['Light Purple', 'LGH. PURPLE']], 'ext_ids': [222]}}",29,False,Bright Pink,E4ADC8
28,"{'BrickOwl': {'ext_descrs': [['Medium Lavender']], 'ext_ids': [76]}, 'Peeron': {'ext_descrs': [['mdlavender']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Medium Lavender']], 'ext_ids': [157]}, 'LDraw': {'ext_descrs': [['Medium_Lavender']], 'ext_ids': [30]}, 'LEGO': {'ext_descrs': [['Medium Lavender', 'MEDIUM LAVENDEL']], 'ext_ids': [324]}}",30,False,Medium Lavender,AC78BA
29,"{'BrickOwl': {'ext_descrs': [['Lavender']], 'ext_ids': [36]}, 'Peeron': {'ext_descrs': [['lavender']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Lavender']], 'ext_ids': [154]}, 'LDraw': {'ext_descrs': [['Lavender']], 'ext_ids': [31]}, 'LEGO': {'ext_descrs': [['Lavender']], 'ext_ids': [325]}}",31,False,Lavender,E1D5ED
30,"{'LDraw': {'ext_descrs': [['Trans_Black_IR_Lens']], 'ext_ids': [32]}}",32,True,Trans-Black IR Lens,635F52
31,"{'BrickOwl': {'ext_descrs': [['Transparent Dark Blue']], 'ext_ids': [98]}, 'Peeron': {'ext_descrs': [['trblue']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Dark Blue']], 'ext_ids': [14]}, 'LDraw': {'ext_descrs': [['Trans_Dark_Blue']], 'ext_ids': [33]}, 'LEGO': {'ext_descrs': [['Tr. Blue', 'TR.BLUE']], 'ext_ids': [43]}}",33,True,Trans-Dark Blue,0020A0
32,"{'BrickOwl': {'ext_descrs': [['Transparent Green']], 'ext_ids': [100]}, 'Peeron': {'ext_descrs': [['trgreen']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Green']], 'ext_ids': [20]}, 'LDraw': {'ext_descrs': [['Trans_Green']], 'ext_ids': [34]}, 'LEGO': {'ext_descrs': [['Tr. Green', 'TR.GREEN']], 'ext_ids': [48]}}",34,True,Trans-Green,84B68D
33,"{'BrickOwl': {'ext_descrs': [['Transparent Bright Green']], 'ext_ids': [96]}, 'Peeron': {'ext_descrs': [['trbtgreen']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Bright Green']], 'ext_ids': [108]}, 'LDraw': {'ext_descrs': [['Trans_Bright_Green']], 'ext_ids': [35]}, 'LEGO': {'ext_descrs': [['Transparent Bright Yellowish Green', 'TR. BR. YEL GR'], ['Transparent Bright Green', 'TR. BR. GREEN']], 'ext_ids': [227, 311]}}",35,True,Trans-Bright Green,D9E4A7
34,"{'BrickOwl': {'ext_descrs': [['Transparent Red']], 'ext_ids': [108]}, 'Peeron': {'ext_descrs': [['trred']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Red']], 'ext_ids': [17]}, 'LDraw': {'ext_descrs': [['Trans_Red']], 'ext_ids': [36]}, 'LEGO': {'ext_descrs': [['Tr. Red', 'TR.RED']], 'ext_ids': [41]}}",36,True,Trans-Red,C91A09
35,"{'BrickOwl': {'ext_descrs': [['Transparent Black']], 'ext_ids': [95]}, 'Peeron': {'ext_descrs': [['smoke']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Black']], 'ext_ids': [13]}, 'LDraw': {'ext_descrs': [['Trans_Black']], 'ext_ids': [40]}, 'LEGO': {'ext_descrs': [['Tr. Brown', 'TR.BROWN']], 'ext_ids': [111]}}",40,True,Trans-Black,635F52
36,"{'BrickOwl': {'ext_descrs': [['Transparent Light Blue']], 'ext_ids': [101]}, 'Peeron': {'ext_descrs': [['trltblue']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Light Blue']], 'ext_ids': [15]}, 'LDraw': {'ext_descrs': [['Trans_Medium_Blue']], 'ext_ids': [43]}, 'LEGO': {'ext_descrs': [['Tr. Lg blue', 'TR.L.BLUE', '1.MULT']], 'ext_ids': [42]}}",41,True,Trans-Light Blue,AEEFEC
37,"{'BrickOwl': {'ext_descrs': [['Transparent Neon Green']], 'ext_ids': [103]}, 'Peeron': {'ext_descrs': [['trneongreen']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Neon Green']], 'ext_ids': [16]}, 'LDraw': {'ext_descrs': [['Trans_Neon_Green']], 'ext_ids': [42]}, 'LEGO': {'ext_descrs': [['Tr. Flu. Green', 'TR.FL.GREEN']], 'ext_ids': [49]}}",42,True,Trans-Neon Green,F8F184
38,"{'BrickOwl': {'ext_descrs': [['Transparent Very Light Blue']], 'ext_ids': [25]}, 'Peeron': {'ext_descrs': [['triceblue']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Very Lt Blue']], 'ext_ids': [113]}, 'LDraw': {'ext_descrs': [['Trans_Light_Blue']], 'ext_ids': [39]}, 'LEGO': {'ext_descrs': [['Transparent Light Bluish Green', 'TR. LGH. BL. GR']], 'ext_ids': [229]}}",43,True,Trans-Very Lt Blue,C1DFF0
39,"{'BrickOwl': {'ext_descrs': [['Transparent Dark Pink']], 'ext_ids': [99]}, 'Peeron': {'ext_descrs': [['trpink']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Dark Pink']], 'ext_ids': [50]}, 'LDraw': {'ext_descrs': [['Trans_Dark_Pink']], 'ext_ids': [37]}, 'LEGO': {'ext_descrs': [['Tr. Medi. reddish violet', 'TR.ML.R.VIOL']], 'ext_ids': [113]}}",45,True,Trans-Dark Pink,DF6695
40,"{'BrickOwl': {'ext_descrs': [['Transparent Yellow']], 'ext_ids': [109]}, 'Peeron': {'ext_descrs': [['tryellow'], ['trltyellow']], 'ext_ids': [None, None]}, 'BrickLink': {'ext_descrs': [['Trans-Yellow']], 'ext_ids': [19]}, 'LDraw': {'ext_descrs': [['Trans_Yellow']], 'ext_ids': [46]}, 'LEGO': {'ext_descrs': [['Tr. Yellow', 'TR.YEL']], 'ext_ids': [44]}}",46,True,Trans-Yellow,F5CD2F
41,"{'BrickOwl': {'ext_descrs': [['Transparent']], 'ext_ids': [97]}, 'Peeron': {'ext_descrs': [['clear']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Clear']], 'ext_ids': [12]}, 'LDraw': {'ext_descrs': [['Trans_Clear']], 'ext_ids': [47]}, 'LEGO': {'ext_descrs': [['Transparent', 'TR.']], 'ext_ids': [40]}}",47,True,Trans-Clear,FCFCFC
42,"{'BrickOwl': {'ext_descrs': [['Transparent Purple']], 'ext_ids': [107]}, 'Peeron': {'ext_descrs': [['trpurple']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Purple']], 'ext_ids': [51]}, 'LDraw': {'ext_descrs': [['Trans_Purple']], 'ext_ids': [52]}, 'LEGO': {'ext_descrs': [['Tr. Bright bluish violet', 'TR.KL.BL.VIO'], ['TR. BR. RED. LI']], 'ext_ids': [126, 236]}}",52,True,Trans-Purple,A5A5CB
43,"{'BrickOwl': {'ext_descrs': [['Transparent Neon Yellow']], 'ext_ids': [104]}, 'Peeron': {'ext_descrs': [['trpeach']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Neon Yellow']], 'ext_ids': [121]}, 'LDraw': {'ext_descrs': [['Trans_Neon_Yellow']], 'ext_ids': [54]}, 'LEGO': {'ext_descrs': [['Transparent Fluorescent Yellow']], 'ext_ids': [157]}}",54,True,Trans-Neon Yellow,DAB000
44,"{'BrickOwl': {'ext_descrs': [['Transparent Neon Reddish Orange']], 'ext_ids': [161]}, 'Peeron': {'ext_descrs': [['trneonorange']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Trans-Neon Orange']], 'ext_ids': [18]}, 'LDraw': {'ext_descrs': [['Trans_Neon_Orange']], 'ext_ids': [38]}, 'LEGO': {'ext_descrs': [['Tr. Flu. Reddish orange', 'TR.FL.REDORA']], 'ext_ids': [47]}}",57,True,Trans-Neon Orange,FF800D
45,"{'BrickOwl': {'ext_descrs': [['Chrome Brass']], 'ext_ids': [110]}, 'Peeron': {'ext_descrs': [['chromebrass']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Chrome Antique Brass']], 'ext_ids': [57]}, 'LDraw': {'ext_descrs': [['Chrome_Antique_Brass']], 'ext_ids': [60]}}",60,False,Chrome Antique Brass,645A4C
46,"{'BrickOwl': {'ext_descrs': [['Chrome Blue']], 'ext_ids': [112]}, 'Peeron': {'ext_descrs': [['chromeblue']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Chrome Blue']], 'ext_ids': [52]}, 'LDraw': {'ext_descrs': [['Chrome_Blue']], 'ext_ids': [61]}}",61,False,Chrome Blue,6C96BF
47,"{'BrickOwl': {'ext_descrs': [['Chrome Green']], 'ext_ids': [113]}, 'Peeron': {'ext_descrs': [['chromegreen']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Chrome Green']], 'ext_ids': [64]}, 'LDraw': {'ext_descrs': [['Chrome_Green']], 'ext_ids': [62]}}",62,False,Chrome Green,3CB371
48,"{'BrickOwl': {'ext_descrs': [['Chrome Pink']], 'ext_ids': [114]}, 'Peeron': {'ext_descrs': [['chromepink']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Chrome Pink']], 'ext_ids': [82]}, 'LDraw': {'ext_descrs': [['Chrome_Pink']], 'ext_ids': [63]}}",63,False,Chrome Pink,AA4D8E
49,"{'BrickOwl': {'ext_descrs': [['Chrome Black']], 'ext_ids': [111]}, 'Peeron': {'ext_descrs': [['chromeblack']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Chrome Black']], 'ext_ids': [122]}, 'LDraw': {'ext_descrs': [['Chrome_Black']], 'ext_ids': [64]}}",64,False,Chrome Black,1B2A34
50,"{'BrickOwl': {'ext_descrs': [['Very Light Orange']], 'ext_ids': [91]}, 'Peeron': {'ext_descrs': [['paleorange']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Very Light Orange']], 'ext_ids': [96]}, 'LDraw': {'ext_descrs': [['Very_Light_Orange']], 'ext_ids': [68]}, 'LEGO': {'ext_descrs': [['Light Yellowish Orange']], 'ext_ids': [36]}}",68,False,Very Light Orange,F3CF9B
51,"{'BrickOwl': {'ext_descrs': [['Light Purple']], 'ext_ids': [69]}, 'Peeron': {'ext_descrs': [['ltpurple'], ['btpurple']], 'ext_ids': [None, None]}, 'BrickLink': {'ext_descrs': [['Light Purple']], 'ext_ids': [93]}, 'LDraw': {'ext_descrs': [['Light_Purple']], 'ext_ids': [69]}, 'LEGO': {'ext_descrs': [['Bright Reddish Lilac', 'BR. RED. LILAC']], 'ext_ids': [198]}}",69,False,Light Purple,CD6298
52,"{'BrickOwl': {'ext_descrs': [['Reddish Brown']], 'ext_ids': [82]}, 'Peeron': {'ext_descrs': [['redbrown']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Reddish Brown']], 'ext_ids': [88]}, 'LDraw': {'ext_descrs': [['Reddish_Brown']], 'ext_ids': [70]}, 'LEGO': {'ext_descrs': [['Reddish Brown', 'RED. BROWN']], 'ext_ids': [192]}}",70,False,Reddish Brown,582A12
53,"{'BrickOwl': {'ext_descrs': [['Medium Stone Gray']], 'ext_ids': [64]}, 'Peeron': {'ext_descrs': [['mdstone']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Light Bluish Gray']], 'ext_ids': [86]}, 'LDraw': {'ext_descrs': [['Light_Bluish_Gray']], 'ext_ids': [71]}, 'LEGO': {'ext_descrs': [['Medium stone grey', 'MED. ST-GREY']], 'ext_ids': [194]}}",71,False,Light Bluish Gray,A0A5A9
54,"{'BrickOwl': {'ext_descrs': [['Dark Stone Gray']], 'ext_ids': [50]}, 'Peeron': {'ext_descrs': [['dkstone']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Dark Bluish Gray']], 'ext_ids': [85]}, 'LDraw': {'ext_descrs': [['Dark_Bluish_Gray']], 'ext_ids': [72]}, 'LEGO': {'ext_descrs': [['Dark stone grey', 'DK. ST. GREY']], 'ext_ids': [199]}}",72,False,Dark Bluish Gray,6C6E68
55,"{'BrickOwl': {'ext_descrs': [['Medium Blue']], 'ext_ids': [14]}, 'Peeron': {'ext_descrs': [['mdblue']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Medium Blue']], 'ext_ids': [42]}, 'LDraw': {'ext_descrs': [['Medium_Blue']], 'ext_ids': [73]}, 'LEGO': {'ext_descrs': [['Medium blue', 'MD.BLUE']], 'ext_ids': [102]}}",73,False,Medium Blue,5A93DB
56,"{'BrickOwl': {'ext_descrs': [['Medium Green']], 'ext_ids': [10]}, 'Peeron': {'ext_descrs': [['mdgreen']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Medium Green']], 'ext_ids': [37]}, 'LDraw': {'ext_descrs': [['Medium_Green']], 'ext_ids': [74]}, 'LEGO': {'ext_descrs': [['Medium green', 'MD.GREEN']], 'ext_ids': [29]}}",74,False,Medium Green,73DCA1
57,"{'BrickOwl': {'ext_descrs': [['Speckle Black Copper']], 'ext_ids': [133]}, 'Peeron': {'ext_descrs': [['blackcopperglitter']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Speckle Black-Copper']], 'ext_ids': [116]}, 'LDraw': {'ext_descrs': [['Speckle_Black_Copper']], 'ext_ids': [75]}, 'LEGO': {'ext_descrs': [['COP. DIF.']], 'ext_ids': [75]}}",75,False,Speckle Black-Copper,000000
58,"{'BrickOwl': {'ext_descrs': [['Speckle Gray']], 'ext_ids': [134]}, 'Peeron': {'ext_descrs': [['dkstoneglitter']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Speckle DBGray-Silver']], 'ext_ids': [117]}, 'LDraw': {'ext_descrs': [['Speckle_Dark_Bluish_Gray_Silver']], 'ext_ids': [76]}}",76,False,Speckle DBGray-Silver,635F61
59,"{'BrickOwl': {'ext_descrs': [['Light Pink']], 'ext_ids': [68]}, 'Peeron': {'ext_descrs': [['parapink'], ['ltpink']], 'ext_ids': [None, None]}, 'BrickLink': {'ext_descrs': [['Light Pink']], 'ext_ids': [56]}, 'LDraw': {'ext_descrs': [['Light_Pink']], 'ext_ids': [77]}, 'LEGO': {'ext_descrs': [['Light Pink']], 'ext_ids': [223]}}",77,False,Light Pink,FECCCF
60,"{'BrickOwl': {'ext_descrs': [['Light Flesh']], 'ext_ids': [65]}, 'Peeron': {'ext_descrs': [['ltflesh']], 'ext_ids': [None]}, 'BrickLink': {'ext_descrs': [['Light Flesh']], 'ext_ids': [90]}, 'LDraw': {'ext_descrs': [['Light_Flesh']], 'ext_ids': [78]}, 'LEGO': {'ext_descrs': [['Light Nougat', 'L.NOUGAT']], 'ext_ids': [283]}}",78,False,Light Flesh,F6D7B3
